,GDP,GDP Defl,Interest rates,Investment,Stock,Spread 1,Spread 2,Credit/Real Estate Ratio,US HOME MORTGAGES - FIXED 30YR - EFFECTIVE INTEREST RATE,CPI index,PCE index,employment,industrial production,1-year Treasury constant maturity rate,DJIA
DATE,ROUTPUT13Q3,P,TB3MS,GPDIC96,Real SP500,Baa-FedFud,Baa-10y,Credit/Real Estate Ratio,Mortgages rates,,,,IP,,
2014:Q4,9.749345206,4.645140618,0.03,8.013626822,1.638263916,4.62,2.57,0.06453152,3.87,5.465,4.633,11.902,4.668,0.25,2.099
2015:Q1,9.758796984,4.644909995,0.03,8.047916978,1.636035161,4.43,2.6,0.060727634,3.69,5.464,4.632,11.906,4.655,0.26,2.106
2015:Q2,9.765534972,4.650592781,0.02,8.050922745,1.643589394,5,2.78,0.054048521,4.02,5.471,4.637,11.910,4.642,0.28,2.107
2015:Q3,9.76915584,4.653198155,0.02,8.048901376,1.644423509,5.2,3.28,0.042532693,3.86,5.470,4.637,11.911,4.642,0.33,2.102
2015:Q4,9.77076155,4.653341111,0.23,8.036802038,1.641936043,5.22,3.19,0.037262514,4.01,5.471,4.637,11.919,4.626,0.65,2.093
2016:Q1,9.776409577,4.653026581,0.29,8.03068938,1.626654083,4.77,3.35,0.040012414,3.71,5.473,4.639,11.926,4.619,0.59,2.091
2016:Q2,9.779521693,4.659611022,0.27,8.02192164,1.638320402,4.15,3.04,0.028564765,3.48,5.482,4.646,11.927,4.624,0.45,2.097
2016:Q3,9.784951734,4.662882335,0.29,8.022269788,1.647893396,3.91,2.71,0.014237681,3.42,5.486,4.649,11.930,4.625,0.59,2.103
2016:Q4,9.791225498,4.668201322,0.51,8.048822149,1.641586731,4.29,2.38,0.00188396,4.32,5.492,4.654,11.933,4.634,0.85,2.102
2017:Q1,9.79686513,4.673118512,0.74,8.045707825,1.655078821,3.89,2.28,0.004572534,4.14,5.496,4.658,11.939,4.638,1.03,2.118
2017:Q2,9.801128085,4.676262186,0.98,8.05487674,1.663384242,3.33,2.06,-0.002276962,3.88,5.498,4.661,11.941,4.650,1.24,2.126
2017:Q3,9.808385351,4.681834887,1.03,8.073244602,1.669183982,3.15,1.97,-0.016313073,3.83,5.508,4.667,11.946,4.645,1.31,2.131
2017:Q4,9.817896984,4.688012049,1.32,8.088473376,1.675931719,2.92,1.82,-0.017789547,3.99,5.512,4.672,11.944,4.668,1.76,2.140
2018:Q1,9.827173302,4.694023199,1.70,8.114465034,1.692201374,3.13,1.9,-0.017507542,4.44,5.520,4.679,11.953,4.675,2.09,2.157
2018:Q2,9.833837322,4.701979242,1.90,8.111706083,1.675816582,3.01,1.98,-0.016903853,4.55,5.526,4.685,11.956,4.684,2.33,2.149
2018:Q3,9.839077023,4.706561836,2.13,8.136052238,1.688048994,2.93,1.83,-0.019700631,4.72,5.530,4.688,11.957,4.698,2.59,2.152
2018:Q4,9.842351237,4.710961609,2.37,8.145635765,1.678531415,2.86,2.44,-0.023847906,4.55,5.531,4.691,11.962,4.705,2.63,2.156
2019:Q1,9.849575042,4.713997685,2.40,8.155164226,1.676255796,2.43,2.43,-0.03594508,4.06,5.538,4.694,11.963,4.698,2.40,2.143
2019:Q2,9.853277881,4.720113638,2.17,8.140300671,1.69283,2.08,2.46,-0.041640446,3.73,5.543,4.699,11.965,4.694,1.92,2.153
2019:Q3,9.85962448,4.723859478,1.89,8.144883226,1.693485167,1.87,2.23,-0.035799516,3.64,5.547,4.702,11.972,4.696,1.75,2.157
2019:Q4,9.86547411,4.727290469,1.54,8.135438653,1.697194822,2.33,1.96,-0.040678536,3.74,5.554,4.707,11.975,4.697,1.59,2.161
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
