8.1655,3.9762,9.43,-226.08,0.86972,7.2046,11.25,6.2554,10.177,8.5,7.4553,0.78663,2.6501,6.3855,6.8378,-22.55,11.69,-10.851,37.142,5.5503,66.8,71.2,3.514,-0.44509
7.8695,5.6298,9.69,-48.483,-13.224,8.5259,11.675,3.3721,11.724,7.9,7.5704,5.0757,4.2795,4.9467,6.7228,4.9177,11.94,-9.394,36.886,5.2467,60.2,63.2,2.0293,-4.3758
6.9647,3.7548,10.56,485.38,-11.693,8.5295,10.447,5.669,6.1451,7.4,7.5082,1.5489,3.8604,2.2284,6.9841,2.2322,13.2,-11.079,12.789,4.44,59.2,61,3.5145,-3.8884
3.9163,3.4632,11.39,414.2,11.993,5.2467,9.2201,3.0618,2.9115,7.4,7.4218,-0.38666,3.0894,2.6578,3.2623,-17.006,12.87,-29.52,8.5576,3.9455,53,51.8,2.029,2.2258
3.1776,3.4335,9.27,-170.8,11.571,8.7698,6.5122,5.2551,0.2858,7.3,7.3963,-0.38703,2.4805,5.6987,4.3331,-23.681,11.74,-25.981,-5.2238,3.5526,50.6,52.6,0.75911,2.2726
3.9563,3.6566,8.48,-469.08,27.847,11.844,7.5936,6.7376,1.1104,7.2,7.4466,0.38703,4.7581,5.6187,10.667,-5.5947,11.58,-34.285,-11.117,2.7681,49.3,50.9,1.3628,5.7723
3.646,3.6197,7.92,-41.024,16.894,7.0321,4.6394,3.7375,0.3492,7.3,7.4536,2.3144,3.3583,2.1402,9.4883,11.759,10.81,47.444,6.7583,2.8849,47.7,50.5,1.8919,3.3839
6.1756,2.4803,7.9,-42.939,7.9321,8.4029,5.3795,7.6103,-0.68478,7.2,7.439,-2.3144,3.1687,1.2786,13.857,-0.94882,10.34,36.724,-2.7347,2.3576,48.5,53,6.4646,1.1909
2.9895,4.0572,8.1,80.866,16.997,5.8659,7.2695,1.0263,2.3905,7,7.5093,4.6154,2.739,4.6537,11.311,19.687,9.76,16.771,14.478,2.3763,51.2,55.1,1.4575,3.5646
3.6888,2.0753,7.83,-225.62,44.196,5.8923,6.5933,3.3803,2.3481,7,7.5491,-6.9433,2.8521,2.9335,8.6455,-216.24,8.56,1.4558,-0.11812,1.6587,51.1,56.1,3.717,10.336
1.8323,-1.9543,6.92,25.038,36.433,10.448,4.5883,4.447,-2.3554,7.2,7.538,-7.8588,-0.48551,0,15.34,-80.002,7.6,18.68,-7.0458,1.3656,51.2,56.9,2.5294,9.2296
4.0063,2.4395,6.21,7.857,0.99655,9.8952,5.3584,7.1798,1.6035,7,7.4725,-0.79444,2.0283,0,16.604,-1.7279,7.31,-5.7925,-10.907,1.9714,51,55.6,2.2642,-0.25794
2.067,2.787,6.27,-31.903,3.9451,8.8001,4.4973,2.5507,4.4078,6.8,7.4454,3.5626,2.3752,2.9121,17.016,41.572,7.26,-15.86,1.1955,2.5883,51,55.6,-1.1371,0.3925
2.7883,4.7979,6.22,-150.46,55.078,6.2608,6.092,0.062775,5.2774,6.6,7.4736,3.5312,3.7304,2.4793,12.946,68.03,7.19,30.183,10.652,2.4211,54.2,58.9,-1.8075,12.837
